exporter_id,company_age,industry,country,total_invoices,defaulted_invoices
EXP_001,22,Electronics,China,22,2
EXP_002,44,Agriculture,Mexico,16,1
EXP_003,30,Electronics,India,21,0
EXP_004,14,Machinery,Mexico,27,1
EXP_005,31,Machinery,India,22,1
EXP_006,43,Machinery,Vietnam,18,0
EXP_007,37,Electronics,Bangladesh,21,4
EXP_008,44,Agriculture,Turkey,18,0
EXP_009,41,Autos,Bangladesh,19,1
EXP_010,13,Agriculture,China,28,0
EXP_011,17,Machinery,India,13,0
EXP_012,44,Autos,Mexico,19,0
EXP_013,20,Machinery,Mexico,19,2
EXP_014,10,Autos,Bangladesh,24,0
EXP_015,49,Textiles,China,21,1
EXP_016,38,Textiles,Vietnam,14,0
EXP_017,29,Autos,Vietnam,23,1
EXP_018,13,Textiles,Vietnam,19,0
EXP_019,9,Machinery,Mexico,21,4
EXP_020,34,Electronics,India,18,0
EXP_021,40,Agriculture,Turkey,21,1
EXP_022,37,Agriculture,Turkey,25,0
EXP_023,4,Machinery,Bangladesh,28,4
EXP_024,39,Pharmaceuticals,India,19,4
EXP_025,30,Pharmaceuticals,Turkey,22,1
EXP_026,18,Autos,Bangladesh,24,1
EXP_027,18,Agriculture,Vietnam,17,1
EXP_028,30,Machinery,Bangladesh,19,0
EXP_029,40,Autos,India,12,1
EXP_030,1,Pharmaceuticals,India,20,1
EXP_031,3,Pharmaceuticals,China,19,0
EXP_032,32,Pharmaceuticals,Vietnam,21,0
EXP_033,8,Pharmaceuticals,Vietnam,21,2
EXP_034,30,Agriculture,India,13,0
EXP_035,44,Pharmaceuticals,Mexico,27,1
EXP_036,13,Agriculture,India,30,1
EXP_037,48,Textiles,Vietnam,22,1
EXP_038,41,Textiles,Mexico,17,0
EXP_039,15,Autos,China,24,0
EXP_040,19,Textiles,Vietnam,16,0
EXP_041,18,Textiles,Bangladesh,17,1
EXP_042,20,Machinery,Turkey,20,1
EXP_043,45,Machinery,Vietnam,20,1
EXP_044,42,Machinery,India,14,2
EXP_045,4,Electronics,Vietnam,18,0
EXP_046,21,Textiles,Turkey,19,1
EXP_047,42,Agriculture,Mexico,19,1
EXP_048,1,Electronics,Vietnam,22,1
EXP_049,45,Machinery,Vietnam,17,1
EXP_050,14,Agriculture,Vietnam,14,1
