invoice_id,exporter_id,importer_country,invoice_amount,invoice_date,due_date,payment_date,status
INV_0001,EXP_024,USA,106273.05,2025-07-28,2025-09-26,2025-09-29,Paid
INV_0002,EXP_032,USA,138028.18,2025-04-29,2025-05-29,2025-06-02,Paid
INV_0003,EXP_046,Germany,73426.73,2024-01-02,2024-03-02,2024-03-04,Paid
INV_0004,EXP_022,UAE,77535.36,2024-05-11,2024-07-10,2024-07-15,Paid
INV_0005,EXP_010,UK,97121.17,2023-07-22,2023-10-20,2023-10-25,Paid
INV_0006,EXP_026,France,105839.41,2024-02-18,2024-03-19,2024-03-15,Paid
INV_0007,EXP_020,Singapore,128137.89,2026-01-18,2026-02-17,2026-02-22,Paid
INV_0008,EXP_019,UAE,109299.17,2024-12-14,2025-01-28,2025-01-24,Paid
INV_0009,EXP_021,UAE,111532.03,2024-07-05,2024-08-04,2024-08-02,Paid
INV_0010,EXP_011,UAE,73745.64,2023-12-30,2024-03-29,2024-03-31,Paid
INV_0011,EXP_017,UK,92246.87,2024-11-12,2025-02-10,2025-04-04,Paid Late
INV_0012,EXP_006,Canada,94439.25,2024-08-24,2024-09-23,2024-09-26,Paid
INV_0013,EXP_006,Germany,120741.83,2025-07-29,2025-09-27,2025-09-25,Paid
INV_0014,EXP_040,USA,101138.82,2024-05-06,2024-06-05,2024-06-08,Paid
INV_0015,EXP_015,France,68629.21,2024-08-31,2024-10-15,2024-11-16,Paid Late
INV_0016,EXP_041,Germany,132064.19,2024-11-17,2024-12-17,2024-12-12,Paid
INV_0017,EXP_032,Germany,34350.19,2023-12-23,2024-02-06,2024-02-11,Paid
INV_0018,EXP_021,UK,13530.48,2023-08-16,2023-09-15,2023-09-15,Paid
INV_0019,EXP_023,Singapore,11132.4,2025-11-21,2026-01-20,2026-03-15,Paid Late
INV_0020,EXP_033,Germany,40887.3,2025-05-23,2025-06-22,2025-06-27,Paid
INV_0021,EXP_033,Germany,113745.98,2024-07-20,2024-09-18,2024-09-27,Paid Late
INV_0022,EXP_028,Germany,139592.41,2023-11-03,2024-02-01,2024-02-04,Paid
INV_0023,EXP_036,Singapore,63697.15,2024-01-10,2024-04-09,2024-04-12,Paid
INV_0024,EXP_030,USA,15641.97,2024-12-17,2025-01-31,,Overdue
INV_0025,EXP_040,USA,13302.85,2025-04-06,2025-05-21,2025-05-20,Paid
INV_0026,EXP_005,Germany,117828.85,2023-03-08,2023-04-07,2023-04-04,Paid
INV_0027,EXP_035,UAE,105965.68,2024-06-19,2024-08-03,2024-08-01,Paid
INV_0028,EXP_037,Germany,55551.39,2026-01-12,2026-04-12,2026-05-17,Paid Late
INV_0029,EXP_005,UAE,96543.39,2024-03-30,2024-06-28,2024-08-24,Paid Late
INV_0030,EXP_043,Germany,18193.73,2024-08-26,2024-11-24,2024-11-25,Paid
INV_0031,EXP_037,USA,6153.16,2025-08-18,2025-10-02,2025-10-02,Paid
INV_0032,EXP_023,UAE,106896.01,2023-08-26,2023-11-24,2023-11-27,Paid
INV_0033,EXP_022,Canada,11587.11,2025-05-11,2025-06-25,2025-06-21,Paid
INV_0034,EXP_010,USA,58930.52,2026-01-11,2026-02-25,2026-03-02,Paid
INV_0035,EXP_039,Canada,27196.97,2025-11-09,2025-12-24,2025-12-28,Paid
INV_0036,EXP_034,USA,39830.92,2025-01-15,2025-02-14,2025-04-15,Paid Late
INV_0037,EXP_002,USA,89347.62,2025-08-26,2025-11-24,2026-01-21,Paid Late
INV_0038,EXP_013,Singapore,9478.97,2023-07-10,2023-08-09,2023-08-05,Paid
INV_0039,EXP_012,Canada,43084.33,2025-09-27,2025-10-27,2025-10-29,Paid
