transaction_id,invoice_id,payment_amount,payment_delay_days
TXN_0001,INV_0001,106273.05,3
TXN_0002,INV_0002,138028.18,4
TXN_0003,INV_0003,73426.73,2
TXN_0004,INV_0004,77535.36,5
TXN_0005,INV_0005,97121.17,5
TXN_0006,INV_0006,105839.41,-4
TXN_0007,INV_0007,128137.89,5
TXN_0008,INV_0008,109299.17,-4
TXN_0009,INV_0009,111532.03,-2
TXN_0010,INV_0010,73745.64,2
TXN_0011,INV_0011,92246.87,53
TXN_0012,INV_0012,94439.25,3
TXN_0013,INV_0013,120741.83,-2
TXN_0014,INV_0014,101138.82,3
TXN_0015,INV_0015,68629.21,32
TXN_0016,INV_0016,132064.19,-5
TXN_0017,INV_0017,34350.19,5
TXN_0018,INV_0018,13530.48,0
TXN_0019,INV_0019,11132.4,54
TXN_0020,INV_0020,40887.3,5
TXN_0021,INV_0021,113745.98,9
TXN_0022,INV_0022,139592.41,3
TXN_0023,INV_0023,63697.15,3
TXN_0025,INV_0025,13302.85,-1
TXN_0026,INV_0026,117828.85,-3
TXN_0027,INV_0027,105965.68,-2
TXN_0028,INV_0028,55551.39,35
TXN_0029,INV_0029,96543.39,57
TXN_0030,INV_0030,18193.73,1
TXN_0031,INV_0031,6153.16,0
TXN_0032,INV_0032,106896.01,3
TXN_0033,INV_0033,11587.11,-4
TXN_0034,INV_0034,58930.52,5
TXN_0035,INV_0035,27196.97,4
TXN_0036,INV_0036,39830.92,60
TXN_0037,INV_0037,89347.62,58
TXN_0038,INV_0038,9478.97,-4
TXN_0039,INV_0039,43084.33,2
TXN_0040,INV_0040,35021.36,56
TXN_0041,INV_0041,83056.38,-3
TXN_0042,INV_0042,53485.09,-2
TXN_0043,INV_0043,35408.85,-1
TXN_0044,INV_0044,130725.32,22
TXN_0045,INV_0045,90852.39,-4
TXN_0046,INV_0046,137921.9,2
TXN_0047,INV_0047,79897.81,60
TXN_0049,INV_0049,98811.66,3
TXN_0050,INV_0050,93721.31,-5
TXN_0051,INV_0051,44789.71,-3
TXN_0052,INV_0052,35613.65,-2
TXN_0053,INV_0053,94754.56,1
TXN_0054,INV_0054,79060.83,53
TXN_0055,INV_0055,67041.64,45
TXN_0056,INV_0056,8935.98,2
TXN_0057,INV_0057,16264.06,-4
TXN_0058,INV_0058,61278.82,-2
TXN_0059,INV_0059,134432.22,50
TXN_0060,INV_0060,93379.27,4
TXN_0061,INV_0061,131152.43,-1
TXN_0062,INV_0062,94340.21,1
TXN_0063,INV_0063,70502.38,-3
TXN_0064,INV_0064,27027.22,-2
TXN_0065,INV_0065,12025.02,27
TXN_0066,INV_0066,116720.24,0
TXN_0067,INV_0067,51465.16,1
TXN_0068,INV_0068,131983.47,-2
TXN_0069,INV_0069,53861.91,52
TXN_0070,INV_0070,118629.5,51
TXN_0071,INV_0071,98649.57,5
TXN_0072,INV_0072,100729.66,4
TXN_0073,INV_0073,114926.2,42
TXN_0074,INV_0074,135679.93,20
