exporter_id,company_age,industry,country,total_invoices,avg_invoice_amount,invoice_amount_std,avg_payment_delay,total_delayed_invoices,total_defaulted_invoices,delay_rate,default_rate
EXP_001,22,Electronics,China,22,75595.32181818182,38561.98252575674,114.0909090909091,13,3,0.5909090909090909,0.13636363636363635
EXP_002,44,Agriculture,Mexico,16,83315.855625,43722.230091340636,45.8125,13,1,0.8125,0.0625
EXP_003,30,Electronics,India,21,77534.12,43500.44170127632,8.619047619047619,11,0,0.5238095238095238,0.0
EXP_004,14,Machinery,Mexico,27,80685.89814814815,37789.84860973799,48.629629629629626,19,3,0.7037037037037037,0.1111111111111111
EXP_005,31,Machinery,India,22,73327.94,46016.879408810826,67.18181818181819,15,2,0.6818181818181818,0.09090909090909091
EXP_006,43,Machinery,Vietnam,18,69407.4011111111,43385.92356793155,20.61111111111111,11,1,0.6111111111111112,0.05555555555555555
EXP_007,37,Electronics,Bangladesh,21,60269.397619047624,42649.78656475117,113.28571428571429,11,4,0.5238095238095238,0.19047619047619047
EXP_008,44,Agriculture,Turkey,18,73242.71166666667,39167.384118483256,18.0,11,1,0.6111111111111112,0.05555555555555555
EXP_009,41,Autos,Bangladesh,19,86476.20578947368,36126.45759381194,22.157894736842106,13,1,0.6842105263157895,0.05263157894736842
EXP_010,13,Agriculture,China,28,84561.71035714286,40718.94182837493,35.714285714285715,17,1,0.6071428571428571,0.03571428571428571
EXP_011,17,Machinery,India,13,73953.98,46706.88619960069,2.923076923076923,9,0,0.6923076923076923,0.0
EXP_012,44,Autos,Mexico,19,93805.58263157895,41551.23806641491,3.3157894736842106,10,0,0.5263157894736842,0.0
EXP_013,20,Machinery,Mexico,19,68264.28368421052,41031.75725604961,72.26315789473684,15,3,0.7894736842105263,0.15789473684210525
EXP_014,10,Autos,Bangladesh,24,87721.11541666667,36199.34760053832,21.25,18,1,0.75,0.041666666666666664
EXP_015,49,Textiles,China,21,79587.64476190477,41018.39978686756,47.714285714285715,12,1,0.5714285714285714,0.047619047619047616
EXP_016,38,Textiles,Vietnam,14,75969.75428571428,29889.737848690504,3.5,9,0,0.6428571428571429,0.0
EXP_017,29,Autos,Vietnam,23,83727.28130434782,39202.52215069962,66.95652173913044,14,2,0.6086956521739131,0.08695652173913043
EXP_018,13,Textiles,Vietnam,19,98713.44263157895,32330.80284301332,3.473684210526316,13,0,0.6842105263157895,0.0
EXP_019,9,Machinery,Mexico,21,69191.0580952381,38916.74400297006,91.47619047619048,14,4,0.6666666666666666,0.19047619047619047
