invoice_id,exporter_id,importer_country,invoice_amount,invoice_date,due_date,payment_date,status,payment_amount,payment_delay_days,is_delayed,is_defaulted,amt_vs_avg_ratio
INV_0001,EXP_024,USA,106273.05,2025-07-28,2025-09-26,2025-09-29,Paid,106273.05,3,True,False,1.226102181932656
INV_0002,EXP_032,USA,138028.18,2025-04-29,2025-05-29,2025-06-02,Paid,138028.18,4,True,False,1.6432578649551368
INV_0003,EXP_046,Germany,73426.73,2024-01-02,2024-03-02,2024-03-04,Paid,73426.73,2,True,False,1.0378831074358887
INV_0004,EXP_022,UAE,77535.36,2024-05-11,2024-07-10,2024-07-15,Paid,77535.36,5,True,False,1.0178810632183135
INV_0005,EXP_010,UK,97121.17,2023-07-22,2023-10-20,2023-10-25,Paid,97121.17,5,True,False,1.1485241912659143
INV_0006,EXP_026,France,105839.41,2024-02-18,2024-03-19,2024-03-15,Paid,105839.41,-4,False,False,1.372132988071917
INV_0007,EXP_020,Singapore,128137.89,2026-01-18,2026-02-17,2026-02-22,Paid,128137.89,5,True,False,1.573697149751268
INV_0008,EXP_019,UAE,109299.17,2024-12-14,2025-01-28,2025-01-24,Paid,109299.17,-4,False,False,1.5796718970470873
INV_0009,EXP_021,UAE,111532.03,2024-07-05,2024-08-04,2024-08-02,Paid,111532.03,-2,False,False,1.4802158142210498
INV_0010,EXP_011,UAE,73745.64,2023-12-30,2024-03-29,2024-03-31,Paid,73745.64,2,True,False,0.9971828426272663
INV_0011,EXP_017,UK,92246.87,2024-11-12,2025-02-10,2025-04-04,Paid Late,92246.87,53,True,False,1.1017540348011965
INV_0012,EXP_006,Canada,94439.25,2024-08-24,2024-09-23,2024-09-26,Paid,94439.25,3,True,False,1.360651003901105
INV_0013,EXP_006,Germany,120741.83,2025-07-29,2025-09-27,2025-09-25,Paid,120741.83,-2,False,False,1.7396103018856732
INV_0014,EXP_040,USA,101138.82,2024-05-06,2024-06-05,2024-06-08,Paid,101138.82,3,True,False,1.0514437992593482
INV_0015,EXP_015,France,68629.21,2024-08-31,2024-10-15,2024-11-16,Paid Late,68629.21,32,True,False,0.8623098497927897
INV_0016,EXP_041,Germany,132064.19,2024-11-17,2024-12-17,2024-12-12,Paid,132064.19,-5,False,False,1.5839422061953696
INV_0017,EXP_032,Germany,34350.19,2023-12-23,2024-02-06,2024-02-11,Paid,34350.19,5,True,False,0.4089470706648693
INV_0018,EXP_021,UK,13530.48,2023-08-16,2023-09-15,2023-09-15,Paid,13530.48,0,False,False,0.1795720069831207
INV_0019,EXP_023,Singapore,11132.4,2025-11-21,2026-01-20,2026-03-15,Paid Late,11132.4,54,True,False,0.14546936264778026
INV_0020,EXP_033,Germany,40887.3,2025-05-23,2025-06-22,2025-06-27,Paid,40887.3,5,True,False,0.5297114525738599
INV_0021,EXP_033,Germany,113745.98,2024-07-20,2024-09-18,2024-09-27,Paid Late,113745.98,9,True,False,1.4736250202443597
INV_0022,EXP_028,Germany,139592.41,2023-11-03,2024-02-01,2024-02-04,Paid,139592.41,3,True,False,1.4374153123870201
INV_0023,EXP_036,Singapore,63697.15,2024-01-10,2024-04-09,2024-04-12,Paid,63697.15,3,True,False,0.7507503714435882
INV_0024,EXP_030,USA,15641.97,2024-12-17,2025-01-31,,Overdue,0.0,382,True,True,0.19981915195130412
INV_0025,EXP_040,USA,13302.85,2025-04-06,2025-05-21,2025-05-20,Paid,13302.85,-1,False,False,0.13829703713151112
INV_0026,EXP_005,Germany,117828.85,2023-03-08,2023-04-07,2023-04-04,Paid,117828.85,-3,False,False,1.6068752238232793
INV_0027,EXP_035,UAE,105965.68,2024-06-19,2024-08-03,2024-08-01,Paid,105965.68,-2,False,False,1.1434568933719456
INV_0028,EXP_037,Germany,55551.39,2026-01-12,2026-04-12,2026-05-17,Paid Late,55551.39,35,True,False,0.7459321819043383
INV_0029,EXP_005,UAE,96543.39,2024-03-30,2024-06-28,2024-08-24,Paid Late,96543.39,57,True,False,1.3165976024964017
INV_0030,EXP_043,Germany,18193.73,2024-08-26,2024-11-24,2024-11-25,Paid,18193.73,1,True,False,0.20606683282396615
INV_0031,EXP_037,USA,6153.16,2025-08-18,2025-10-02,2025-10-02,Paid,6153.16,0,False,False,0.08262331625556982
INV_0032,EXP_023,UAE,106896.01,2023-08-26,2023-11-24,2023-11-27,Paid,106896.01,3,True,False,1.3968321695493107
INV_0033,EXP_022,Canada,11587.11,2025-05-11,2025-06-25,2025-06-21,Paid,11587.11,-4,False,False,0.15211511040159684
INV_0034,EXP_010,USA,58930.52,2026-01-11,2026-02-25,2026-03-02,Paid,58930.52,5,True,False,0.6968936620499917
