invoice_id,exporter_id,importer_country,invoice_amount,risk_score,risk_category,risk_explanation,default_rate_raw,avg_delay_raw,volatility_raw,country_risk_raw
INV_0001,EXP_024,USA,106273.05,86.29,High,Risk Drivers: High historical default rate (21.1%); Frequent payment delays (157.2 days avg),0.2105263157894736,157.21052631578948,1.226102181932656,0.10714285714285714
INV_0002,EXP_032,USA,138028.18,33.94,Medium,Standard risk profile. No major red flags.,0.0476190476190476,28.714285714285715,1.6432578649551368,0.10714285714285714
INV_0003,EXP_046,Germany,73426.73,58.45,Medium,Risk Drivers: High historical default rate (15.8%),0.1578947368421052,103.63157894736842,1.0378831074358887,0.06289308176100629
INV_0004,EXP_022,UAE,77535.36,59.0,Medium,Risk Drivers: High-risk importer country (UAE),0.12,96.52,1.0178810632183135,0.13286713286713286
INV_0005,EXP_010,UK,97121.17,26.88,Low,Standard risk profile. No major red flags.,0.0357142857142857,35.714285714285715,1.1485241912659143,0.09210526315789473
INV_0006,EXP_026,France,105839.41,38.72,Medium,Standard risk profile. No major red flags.,0.0833333333333333,64.125,1.372132988071917,0.05755395683453238
INV_0007,EXP_020,Singapore,128137.89,32.66,Medium,Standard risk profile. No major red flags.,0.0555555555555555,34.611111111111114,1.573697149751268,0.08196721311475409
INV_0008,EXP_019,UAE,109299.17,76.12,High,Risk Drivers: High historical default rate (19.0%); High-risk importer country (UAE),0.1904761904761904,91.47619047619048,1.579671897047087,0.13286713286713286
INV_0009,EXP_021,UAE,111532.03,31.24,Medium,Risk Drivers: High-risk importer country (UAE),0.0476190476190476,4.238095238095238,1.4802158142210498,0.13286713286713286
INV_0010,EXP_011,UAE,73745.64,17.89,Low,Risk Drivers: High-risk importer country (UAE),0.0,2.923076923076923,0.9971828426272664,0.13286713286713286
INV_0011,EXP_017,UK,92246.87,42.28,Medium,Standard risk profile. No major red flags.,0.0869565217391304,66.95652173913044,1.1017540348011965,0.09210526315789473
INV_0012,EXP_006,Canada,94439.25,25.52,Low,Standard risk profile. No major red flags.,0.0555555555555555,20.61111111111111,1.360651003901105,0.06206896551724138
INV_0013,EXP_006,Germany,120741.83,28.81,Low,Standard risk profile. No major red flags.,0.0555555555555555,20.61111111111111,1.7396103018856732,0.06289308176100629
INV_0014,EXP_040,USA,101138.82,14.82,Low,Standard risk profile. No major red flags.,0.0,2.375,1.0514437992593482,0.10714285714285714
INV_0015,EXP_015,France,68629.21,24.48,Low,Standard risk profile. No major red flags.,0.0476190476190476,47.714285714285715,0.8623098497927897,0.05755395683453238
INV_0016,EXP_041,Germany,132064.19,58.4,Medium,Risk Drivers: Frequent payment delays (119.2 days avg),0.1176470588235294,119.17647058823528,1.5839422061953696,0.06289308176100629
INV_0017,EXP_032,Germany,34350.19,17.71,Low,Standard risk profile. No major red flags.,0.0476190476190476,28.714285714285715,0.4089470706648693,0.06289308176100629
INV_0018,EXP_021,UK,13530.48,14.92,Low,Standard risk profile. No major red flags.,0.0476190476190476,4.238095238095238,0.1795720069831207,0.09210526315789473
INV_0019,EXP_023,Singapore,11132.4,57.47,Medium,Risk Drivers: Frequent payment delays (138.9 days avg),0.1428571428571428,138.89285714285714,0.1454693626477802,0.08196721311475409
INV_0020,EXP_033,Germany,40887.3,35.96,Medium,Standard risk profile. No major red flags.,0.0952380952380952,71.0,0.5297114525738599,0.06289308176100629
INV_0021,EXP_033,Germany,113745.98,43.88,Medium,Standard risk profile. No major red flags.,0.0952380952380952,71.0,1.4736250202443597,0.06289308176100629
INV_0022,EXP_028,Germany,139592.41,47.92,Medium,Standard risk profile. No major red flags.,0.1052631578947368,83.57894736842105,1.43741531238702,0.06289308176100629
INV_0023,EXP_036,Singapore,63697.15,53.03,Medium,Standard risk profile. No major red flags.,0.1333333333333333,99.1,0.7507503714435882,0.08196721311475409
INV_0024,EXP_030,USA,15641.97,36.39,Medium,Standard risk profile. No major red flags.,0.1,52.5,0.1998191519513041,0.10714285714285714
INV_0025,EXP_040,USA,13302.85,7.16,Low,Standard risk profile. No major red flags.,0.0,2.375,0.1382970371315111,0.10714285714285714
INV_0026,EXP_005,Germany,117828.85,43.43,Medium,Standard risk profile. No major red flags.,0.0909090909090909,67.18181818181819,1.6068752238232793,0.06289308176100629
INV_0027,EXP_035,UAE,105965.68,42.22,Medium,Risk Drivers: High-risk importer country (UAE),0.074074074074074,49.51851851851852,1.1434568933719456,0.13286713286713286
INV_0028,EXP_037,Germany,55551.39,45.48,Medium,Standard risk profile. No major red flags.,0.1363636363636363,70.45454545454545,0.7459321819043383,0.06289308176100629
INV_0029,EXP_005,UAE,96543.39,50.29,Medium,Risk Drivers: High-risk importer country (UAE),0.0909090909090909,67.18181818181819,1.3165976024964017,0.13286713286713286
INV_0030,EXP_043,Germany,18193.73,35.71,Medium,Risk Drivers: High historical default rate (15.0%),0.15,30.0,0.2060668328239661,0.06289308176100629
INV_0031,EXP_037,USA,6153.16,45.8,Medium,Standard risk profile. No major red flags.,0.1363636363636363,70.45454545454545,0.0826233162555698,0.10714285714285714
