exporter_id,industry,country,total_invoices,default_rate,avg_payment_delay
EXP_024,Pharmaceuticals,India,19,0.2105263157894736,157.21052631578948
EXP_007,Electronics,Bangladesh,21,0.1904761904761904,113.28571428571428
EXP_019,Machinery,Mexico,21,0.1904761904761904,91.47619047619048
EXP_013,Machinery,Mexico,19,0.1578947368421052,72.26315789473684
EXP_046,Textiles,Turkey,19,0.1578947368421052,103.63157894736842
EXP_043,Machinery,Vietnam,20,0.15,30.0
EXP_050,Agriculture,Vietnam,14,0.1428571428571428,121.42857142857144
EXP_023,Machinery,Bangladesh,28,0.1428571428571428,138.89285714285714
EXP_044,Machinery,India,14,0.1428571428571428,112.92857142857144
EXP_037,Textiles,Vietnam,22,0.1363636363636363,70.45454545454545
EXP_001,Electronics,China,22,0.1363636363636363,114.0909090909091
EXP_036,Agriculture,India,30,0.1333333333333333,99.1
EXP_022,Agriculture,Turkey,25,0.12,96.52
EXP_038,Textiles,Mexico,17,0.1176470588235294,55.64705882352941
EXP_041,Textiles,Bangladesh,17,0.1176470588235294,119.17647058823528
EXP_004,Machinery,Mexico,27,0.1111111111111111,48.629629629629626
EXP_028,Machinery,Bangladesh,19,0.1052631578947368,83.57894736842105
